,Sales_ID,Brand_Name,Car_Name,Year,Selling_Price,km_Driven,City_Code,State_Code,Postal_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Max_Power,Engine,Seats,City_Name
42,45,Maruti, Swift Dzire VXi AT,2018,675000,23300,CT14,ST07,395007,Petrol,Dealer,Automatic,First Owner,18.5,83.14,1197.0,5,Surat
43,46,Maruti, Vitara Brezza VDi,2018,819999,32600,CT13,ST04,800002,Diesel,Dealer,Manual,First Owner,24.3,88.5,1248.0,5,Patna
44,47,Maruti, Alto K10 VXI,2018,390000,10300,CT29,ST24,632001,Petrol,Dealer,Manual,First Owner,23.95,67.05,998.0,5,Vellore
45,48,Toyota, Fortuner 4x4 MT,2014,1500000,77000,CT01,ST15,400001,Diesel,Dealer,Manual,First Owner,12.55,168.5,2982.0,7,Mumbai
46,49,Toyota, Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,CT16,ST23,737101,Diesel,Dealer,Manual,First Owner,12.99,100.0,2494.0,7,Gangtok
47,50,Mercedes-Benz, B Class B180,2014,1450000,27800,CT10,ST12,560034,Diesel,Dealer,Automatic,Second Owner,14.8,120.7,2143.0,5,Bangalore
48,51,Honda, Amaze S Diesel,2015,425000,49800,CT19,ST12,570004,Diesel,Dealer,Manual,First Owner,24.7,98.63,1498.0,5,Mysore
49,52,Mitsubishi, Pajero Sport 4X4,2013,1090000,151000,CT25,ST01,524225,Diesel,Dealer,Manual,First Owner,13.5,175.56,2477.0,7,Nellore
50,53,Honda, City i DTEC S,2015,600000,54700,CT15,ST20,751022,Diesel,Dealer,Manual,First Owner,26.0,98.6,1498.0,5,Bhubaneshwar
51,54,Maruti, Ciaz Zeta,2018,850000,64000,CT24,ST13,680004,Petrol,Dealer,Manual,First Owner,20.65,103.25,1462.0,5,Thrissur
52,55,Honda, Jazz VX Diesel,2015,525000,63000,CT02,ST15,411002,Diesel,Dealer,Manual,First Owner,27.3,98.6,1498.0,5,Pune
53,56,Toyota, Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,CT21,ST27,248001,Diesel,Dealer,Automatic,Second Owner,11.36,171.5,2755.0,7,Dehradun
54,57,Toyota, Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,CT27,ST11,831001,Diesel,Dealer,Manual,First Owner,12.99,100.6,2494.0,7,Jamshedpur
55,58,Audi, A6 2.0 TDI Technology,2013,1750000,33900,CT11,ST07,382460,Diesel,Dealer,Automatic,Second Owner,17.68,174.33,1968.0,5,Ahmedabad
56,59,Toyota, Corolla Altis 1.8 VL CVT,2018,1590000,25000,CT07,ST13,682001,Petrol,Dealer,Automatic,First Owner,14.28,138.03,1798.0,5,Kochi
57,60,Audi, A6 2.0 TDI  Design Edition,2013,1689999,50000,CT11,ST07,382460,Diesel,Dealer,Automatic,First Owner,18.53,187.74,1968.0,5,Ahmedabad
58,61,Mercedes-Benz, New C-Class 220 CDI AT,2013,1425000,59000,CT08,ST29,700027,Diesel,Dealer,Automatic,First Owner,14.84,170.0,2143.0,5,Kolkata
59,62,Tata, Manza ELAN Quadrajet BS IV,2011,265000,120000,CT06,ST22,302029,Diesel,Individual,Manual,First Owner,21.12,88.8,1248.0,5,Jaipur
60,63,Hyundai, i10 Magna,2011,190000,110000,CT14,ST07,395007,Petrol,Individual,Manual,Third Owner,20.36,78.9,1197.0,5,Surat
61,64,Hyundai, i20 Asta 1.4 CRDi,2013,425000,60000,CT20,ST28,208002,Diesel,Individual,Manual,First Owner,21.27,88.76,1396.0,5,kanpur
62,65,Maruti, Swift Dzire ZDI,2015,630000,147000,CT14,ST07,395007,Diesel,Individual,Manual,Second Owner,26.59,74.0,1248.0,5,Surat
63,66,Ford, Figo 1.2P Titanium MT,2017,600000,25000,CT15,ST20,751022,Petrol,Individual,Manual,Third Owner,18.16,86.8,1196.0,5,Bhubaneshwar
64,67,Maruti, Baleno Delta 1.2,2019,650000,30000,CT12,ST28,201301,Petrol,Individual,Manual,First Owner,21.4,83.1,1197.0,5,Noida
65,68,Volkswagen, Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,CT20,ST28,208002,Diesel,Individual,Manual,First Owner,22.0,108.495,1498.0,5,kanpur
66,69,Honda, City i DTEC VX,2015,630000,135000,CT04,ST24,641001,Diesel,Individual,Manual,First Owner,25.1,98.6,1498.0,5,Coimbatore
67,70,Maruti, Wagon R AMT VXI,2018,448000,30000,CT04,ST24,641001,Petrol,Individual,Automatic,First Owner,20.51,67.0,998.0,5,Coimbatore
68,71,Volkswagen, Ameo 1.5 TDI Comfortline,2017,500000,80000,CT01,ST15,400001,Diesel,Individual,Manual,First Owner,21.66,108.62,1498.0,5,Mumbai
69,72,Maruti, Vitara Brezza VDi,2016,745000,70000,CT06,ST22,302029,Diesel,Individual,Manual,First Owner,24.3,88.5,1248.0,5,Jaipur
70,73,Maruti, Vitara Brezza ZDi Plus AMT,2019,1025000,9850,CT26,ST15,431001,Diesel,Individual,Automatic,First Owner,24.3,88.5,1248.0,5,Aurangabad
71,74,Hyundai, i10 Magna,2011,235000,60000,CT16,ST23,737101,Petrol,Individual,Manual,Second Owner,20.36,78.9,1197.0,5,Gangtok
72,75,Maruti, Swift VDI Deca,2016,630000,70000,CT03,ST24,600020,Diesel,Individual,Manual,First Owner,25.2,74.0,1248.0,5,Chennai
73,76,Toyota, Fortuner 4x4 MT,2015,1700000,78000,CT16,ST23,737101,Diesel,Individual,Manual,Second Owner,12.55,168.5,2982.0,7,Gangtok
74,77,Maruti, Swift Star VDI,2013,450000,120000,CT07,ST13,682001,Diesel,Individual,Manual,Second Owner,22.9,74.0,1248.0,5,Kochi
75,78,Maruti, Ertiga ZXI,2012,450000,120000,CT23,ST12,575001,Petrol,Individual,Manual,Second Owner,16.02,93.7,1373.0,7,Mangalore
76,80,Volkswagen, Vento Diesel Highline,2013,450000,170000,CT03,ST24,600020,Diesel,Individual,Manual,First Owner,20.54,103.6,1598.0,5,Chennai
77,81,Toyota, Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,CT11,ST07,382460,Diesel,Individual,Manual,First Owner,12.99,100.6,2494.0,8,Ahmedabad
78,82,Ford, EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,CT24,ST13,680004,Diesel,Individual,Manual,First Owner,22.77,98.59,1498.0,5,Thrissur
79,83,BMW, X1 sDrive20i xLine,2016,2500000,30000,CT18,ST21,141003,Petrol,Individual,Automatic,Second Owner,15.71,189.0,1998.0,5,Ludhiana
80,84,Maruti, Celerio ZXI MT BSIV,2017,484999,10000,CT25,ST01,524225,Petrol,Dealer,Manual,First Owner,23.1,67.04,998.0,5,Nellore
81,85,Datsun, GO A Petrol,2016,275000,49000,CT19,ST12,570004,Petrol,Dealer,Manual,First Owner,19.02,67.05,1198.0,5,Mysore
82,86,Maruti, Alto 800 VXI BSIV,2016,315000,32000,CT19,ST12,570004,Petrol,Dealer,Manual,First Owner,24.7,47.3,796.0,5,Mysore
83,87,Maruti, Alto 800 LXI BSIV,2016,275000,38000,CT23,ST12,575001,Petrol,Dealer,Manual,First Owner,24.7,47.3,796.0,5,Mangalore
84,89,Hyundai, i10 Era 1.1,2012,290000,28000,CT22,ST14,452010,Petrol,Dealer,Manual,First Owner,19.81,68.05,1086.0,5,Indore
85,90,Maruti, Omni 8 Seater BSIV,2017,280000,32000,CT03,ST24,600020,Petrol,Dealer,Manual,First Owner,14.0,35.0,796.0,5,Chennai
86,91,Maruti, Wagon R LXI LPG BSIV,2010,225000,44000,CT17,ST07,391510,LPG,Dealer,Manual,First Owner,26.2,58.2,998.0,5,Vadodara
87,92,Volkswagen, Polo 1.2 MPI Comfortline,2015,455000,42000,CT03,ST24,600020,Petrol,Dealer,Manual,First Owner,16.47,74.0,1198.0,5,Chennai
88,93,Hyundai, i10 Magna 1.1L,2015,351000,45000,CT02,ST15,411002,Petrol,Dealer,Manual,Second Owner,19.81,68.05,1086.0,5,Pune
89,94,Volkswagen, Vento Petrol Highline,2012,535000,12000,CT18,ST21,141003,Petrol,Dealer,Manual,Second Owner,15.04,103.6,1598.0,5,Ludhiana
90,95,Maruti, Zen Estilo LXI BSIII,2009,175000,55500,CT16,ST23,737101,Petrol,Dealer,Manual,First Owner,18.2,67.1,998.0,5,Gangtok
91,96,Hyundai, i20 Asta Optional with Sunroof 1.2,2013,525000,61500,CT19,ST12,570004,Petrol,Dealer,Manual,First Owner,18.5,82.85,1197.0,5,Mysore
92,97,Maruti, Swift Dzire LDI,2016,600000,150000,CT04,ST24,641001,Diesel,Individual,Manual,First Owner,26.59,74.0,1248.0,5,Coimbatore
93,98,Hyundai, Xcent 1.2 Kappa SX Option AT,2016,565000,72000,CT14,ST07,395007,Petrol,Dealer,Automatic,First Owner,19.1,82.0,1197.0,5,Surat
94,99,Maruti, Alto LX BSIII,2008,120000,68000,CT28,ST11,834001,Petrol,Dealer,Manual,Third Owner,19.7,46.3,796.0,5,Ranchi
95,100,Hyundai, i20 1.4 Asta Option,2017,725000,110000,CT10,ST12,560034,Diesel,Individual,Manual,First Owner,22.54,88.73,1396.0,5,Bangalore
96,101,Maruti, Wagon R VXI,2009,185000,77000,CT08,ST29,700027,Petrol,Dealer,Manual,Second Owner,21.79,67.05,998.0,5,Kolkata
97,102,Tata, Manza Aura (ABS) Quadrajet,2010,200000,100000,CT25,ST01,524225,Diesel,Individual,Manual,Second Owner,18.8,90.0,1248.0,5,Nellore
98,103,Maruti, Swift VXI,2019,615000,10000,CT16,ST23,737101,Petrol,Individual,Manual,First Owner,21.21,81.8,1197.0,5,Gangtok
99,104,Maruti, Eeco 7 Seater Standard BSIV,2016,270000,100000,CT23,ST12,575001,Petrol,Individual,Manual,Third Owner,15.37,73.0,1196.0,7,Mangalore
100,105,Maruti, Baleno Zeta 1.2,2018,610000,35000,CT21,ST27,248001,Petrol,Individual,Manual,First Owner,21.4,83.1,1197.0,5,Dehradun
101,106,Mahindra, Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,CT25,ST01,524225,Diesel,Individual,Automatic,Second Owner,11.79,120.0,2179.0,8,Nellore
102,107,Ford, Freestyle Titanium Petrol BSIV,2020,400000,5000,CT04,ST24,641001,Petrol,Individual,Manual,Second Owner,19.0,94.68,1194.0,5,Coimbatore
103,108,Hyundai, Verna VTVT 1.6 SX,2017,866000,37800,CT26,ST15,431001,Petrol,Individual,Manual,First Owner,17.0,121.3,1591.0,5,Aurangabad
104,109,Volkswagen, Passat 1.8 TSI MT,2010,700000,114000,CT08,ST29,700027,Petrol,Individual,Manual,First Owner,14.3,160.0,1798.0,5,Kolkata
105,110,Tata, Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,CT18,ST21,141003,Petrol,Individual,Manual,First Owner,15.8,65.0,1172.0,5,Ludhiana
106,111,Mahindra, XUV500 W11 Option AWD,2019,1700000,32000,CT11,ST07,382460,Diesel,Individual,Manual,First Owner,15.1,155.0,2179.0,7,Ahmedabad
107,112,Tata, Indigo CS LS (TDI) BS-III,2016,375000,100000,CT19,ST12,570004,Diesel,Individual,Manual,First Owner,19.09,69.01,1405.0,5,Mysore
108,113,Hyundai, Verna 1.6 SX,2013,522000,150000,CT12,ST28,201301,Diesel,Individual,Manual,Second Owner,22.32,126.32,1582.0,5,Noida
109,114,Hyundai, i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,CT08,ST29,700027,Diesel,Individual,Manual,First Owner,21.9,88.76,1396.0,5,Kolkata
110,115,Toyota, Corolla Altis G,2009,300000,100000,CT25,ST01,524225,Petrol,Individual,Manual,Second Owner,14.53,138.1,1798.0,5,Nellore
111,116,Maruti, Celerio VXI,2020,475000,13000,CT23,ST12,575001,Petrol,Individual,Manual,First Owner,21.63,67.04,998.0,5,Mangalore
112,117,Maruti, Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,CT09,ST34,110039,Diesel,Individual,Manual,First Owner,24.3,88.5,1248.0,5,Delhi
113,118,Maruti, Swift Dzire VXI,2017,595000,40000,CT28,ST11,834001,Petrol,Individual,Manual,First Owner,20.85,83.14,1197.0,5,Ranchi
114,119,Maruti, Wagon R VXI BS IV,2017,440000,35000,CT23,ST12,575001,Petrol,Individual,Manual,First Owner,20.51,67.04,998.0,5,Mangalore
115,121,Nissan, Terrano XL 85 PS,2014,400000,70000,CT01,ST15,400001,Diesel,Individual,Manual,Third Owner,20.45,83.8,1461.0,5,Mumbai
116,122,Hyundai, Creta 1.6 CRDi SX,2016,1140000,50000,CT04,ST24,641001,Diesel,Individual,Manual,First Owner,19.67,126.2,1582.0,5,Coimbatore
117,123,Ford, EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,CT05,ST25,500004,Diesel,Individual,Manual,First Owner,23.0,98.96,1498.0,5,Hyderabad
118,124,Maruti, Swift Dzire VDi,2012,370000,175000,CT25,ST01,524225,Diesel,Individual,Manual,Fourth & Above Owner,19.3,73.9,1248.0,5,Nellore
119,125,Renault, KWID 1.0,2018,350000,25000,CT16,ST23,737101,Petrol,Individual,Manual,First Owner,23.01,67.0,999.0,5,Gangtok
120,126,Maruti, Celerio VXI,2015,360000,40000,CT24,ST13,680004,Petrol,Individual,Manual,Second Owner,23.1,67.04,998.0,5,Thrissur
121,127,Maruti, Alto LXi,2008,105000,65000,CT09,ST34,110039,Petrol,Individual,Manual,Fourth & Above Owner,19.7,46.3,796.0,5,Delhi
122,128,Maruti, Ertiga VDI,2013,625000,90000,CT04,ST24,641001,Diesel,Individual,Manual,Second Owner,20.77,88.76,1248.0,7,Coimbatore
123,129,Hyundai, Santro Xing GLS,2009,135000,80000,CT07,ST13,682001,Petrol,Individual,Manual,Second Owner,17.92,62.1,1086.0,5,Kochi
124,130,Maruti, Ertiga VDI,2015,700000,110000,CT10,ST12,560034,Diesel,Individual,Manual,Second Owner,20.77,88.76,1248.0,7,Bangalore
125,131,Honda, Amaze S i-VTEC,2019,690000,1303,CT22,ST14,452010,Petrol,Dealer,Manual,First Owner,17.8,86.7,1198.0,5,Indore
126,132,Audi, Q5 35TDI Premium Plus,2018,3975000,31800,CT15,ST20,751022,Diesel,Dealer,Automatic,First Owner,17.01,188.0,1968.0,5,Bhubaneshwar
127,133,Lexus, ES 300h,2019,5150000,20000,CT05,ST25,500004,Petrol,Dealer,Automatic,First Owner,22.37,214.56,2487.0,5,Hyderabad
128,134,Jaguar, XF 2.0 Diesel Portfolio,2017,3200000,45000,CT12,ST28,201301,Diesel,Dealer,Automatic,First Owner,19.33,177.0,1999.0,5,Noida
129,135,Jeep, Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,CT25,ST01,524225,Petrol,Individual,Automatic,First Owner,9.5,280.0,3604.0,5,Nellore
130,136,Land, Rover Discovery Sport TD4 SE,2019,4500000,21000,CT24,ST13,680004,Diesel,Dealer,Automatic,First Owner,12.83,148.31,1999.0,7,Thrissur
131,137,Mercedes-Benz, S-Class S 350 CDI,2017,6000000,37000,CT10,ST12,560034,Diesel,Dealer,Automatic,First Owner,13.5,254.79,2987.0,5,Bangalore
132,138,BMW, 5 Series 520d Sport Line,2018,3790000,29500,CT24,ST13,680004,Diesel,Dealer,Automatic,First Owner,22.48,187.74,1995.0,5,Thrissur
133,140,BMW, X4 M Sport X xDrive20d,2019,5800000,7500,CT03,ST24,600020,Diesel,Dealer,Automatic,First Owner,16.78,190.0,1995.0,5,Chennai
134,141,Skoda, Superb LK 1.8 TSI AT,2018,1864999,50000,CT13,ST04,800002,Petrol,Dealer,Automatic,First Owner,14.67,177.46,1798.0,5,Patna
135,142,Mercedes-Benz, E-Class E250 Edition E,2016,2700000,35000,CT14,ST07,395007,Diesel,Dealer,Automatic,First Owner,15.0,204.0,2143.0,5,Surat
136,143,MG, Hector Sharp AT BSIV,2019,1750000,19000,CT08,ST29,700027,Petrol,Dealer,Automatic,First Owner,13.96,141.0,1451.0,5,Kolkata
137,144,Honda, City i-VTEC CVT VX,2017,795000,41000,CT23,ST12,575001,Petrol,Dealer,Automatic,First Owner,18.0,117.6,1497.0,5,Mangalore
138,145,Toyota, Corolla Altis 1.8 G CVT,2013,625000,39000,CT24,ST13,680004,Petrol,Dealer,Automatic,First Owner,14.28,138.03,1798.0,5,Thrissur
139,146,Volvo, XC40 D4 R-Design,2018,3400000,22000,CT01,ST15,400001,Diesel,Dealer,Automatic,First Owner,18.0,190.0,1969.0,5,Mumbai
140,147,Audi, Q7 35 TDI Quattro Premium,2015,2650000,53000,CT11,ST07,382460,Diesel,Dealer,Automatic,First Owner,12.07,241.4,2967.0,7,Ahmedabad
141,148,Maruti, Ciaz ZDi,2015,535000,40000,CT08,ST29,700027,Diesel,Dealer,Manual,First Owner,26.21,88.5,1248.0,5,Kolkata
142,149,Mercedes-Benz, S-Class S 350 CDI,2017,5850000,47000,CT14,ST07,395007,Diesel,Dealer,Automatic,First Owner,13.5,282.0,2987.0,5,Surat
143,150,BMW, 5 Series 523i,2010,975000,72200,CT19,ST12,570004,Petrol,Dealer,Automatic,Second Owner,10.8,150.0,2497.0,5,Mysore
144,151,Hyundai, Elantra S,2016,805000,49900,CT24,ST13,680004,Petrol,Dealer,Manual,First Owner,16.3,147.5,1797.0,5,Thrissur
145,152,Jaguar, XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,CT19,ST12,570004,Diesel,Dealer,Automatic,First Owner,13.6,177.0,1999.0,5,Mysore
146,153,Tata, Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,CT01,ST15,400001,Petrol,Dealer,Manual,First Owner,17.0,108.5,1198.0,5,Mumbai
147,154,Volkswagen, Vento Petrol Highline,2011,375000,49000,CT02,ST15,411002,Petrol,Individual,Manual,First Owner,15.04,103.6,1598.0,5,Pune
148,155,Hyundai, Elantra SX,2012,550000,95000,CT05,ST25,500004,Petrol,Individual,Manual,First Owner,16.3,147.5,1797.0,5,Hyderabad
149,156,Skoda, Rapid 1.6 MPI AT Elegance,2016,645000,11000,CT29,ST24,632001,Petrol,Dealer,Automatic,First Owner,14.3,103.5,1598.0,5,Vellore
150,157,Mercedes-Benz, CLA 200 CGI Sport,2018,2550000,18000,CT07,ST13,682001,Petrol,Dealer,Automatic,First Owner,15.04,183.0,1991.0,5,Kochi
151,158,Maruti, Ertiga ZXI,2014,599000,46100,CT23,ST12,575001,Petrol,Dealer,Manual,First Owner,16.02,93.7,1373.0,7,Mangalore
152,159,Mercedes-Benz, New C-Class C 200 AVANTGARDE,2017,2700000,16000,CT29,ST24,632001,Petrol,Dealer,Automatic,First Owner,14.74,181.04,1991.0,5,Vellore
153,160,Honda, City V AT,2017,875000,18000,CT29,ST24,632001,Petrol,Dealer,Automatic,First Owner,15.6,116.3,1497.0,5,Vellore
154,161,Toyota, Glanza V CVT,2019,894999,9654,CT05,ST25,500004,Petrol,Dealer,Automatic,First Owner,19.56,81.8,1197.0,5,Hyderabad
155,162,Maruti, Alto K10 VXI,2011,175000,11000,CT20,ST28,208002,Petrol,Dealer,Manual,First Owner,23.95,67.05,998.0,5,kanpur
156,163,Maruti, Swift VXI,2012,340000,24300,CT12,ST28,201301,Petrol,Dealer,Manual,First Owner,21.21,81.8,1197.0,5,Noida
157,164,Toyota, Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,CT09,ST34,110039,Diesel,Dealer,Automatic,Second Owner,11.36,171.5,2755.0,7,Delhi
158,165,Tata, Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,CT10,ST12,560034,Diesel,Dealer,Automatic,First Owner,21.5,108.5,1497.0,5,Bangalore
159,166,BMW, 3 Series 320d Luxury Line,2016,2150000,30000,CT15,ST20,751022,Diesel,Dealer,Automatic,First Owner,22.69,190.0,1995.0,5,Bhubaneshwar
160,167,Toyota, Camry 2.5 Hybrid,2016,1900000,41000,CT25,ST01,524225,Petrol,Dealer,Automatic,First Owner,19.16,157.7,2494.0,5,Nellore
161,168,BMW, 5 Series 520d Luxury Line,2016,2900000,12000,CT15,ST20,751022,Diesel,Dealer,Automatic,First Owner,18.12,190.0,1995.0,5,Bhubaneshwar
162,169,Toyota, Camry W4 (AT),2009,450000,71000,CT22,ST14,452010,Petrol,Dealer,Automatic,First Owner,12.1,164.7,2362.0,5,Indore
163,170,Maruti, Ertiga BSIV ZXI Plus,2016,850000,20000,CT15,ST20,751022,Petrol,Individual,Manual,First Owner,17.5,91.1,1373.0,7,Bhubaneshwar
164,171,Volvo, XC90 T8 Excellence BSIV,2017,10000000,30000,CT05,ST25,500004,Petrol,Individual,Automatic,First Owner,42.0,400.0,1969.0,4,Hyderabad
165,172,Volkswagen, Vento Diesel Highline,2011,300000,100000,CT08,ST29,700027,Diesel,Individual,Manual,Second Owner,20.54,103.6,1598.0,5,Kolkata
